,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 4}",1,"{'minutes': 13, 'seconds': 56}",27,252452117,25245211701,Central Michigan,Mid-American,3,False,1,{'minutes': 15},35,-8,2005
1,Central Michigan,Mid-American,PUNT,{'seconds': 19},1,"{'minutes': 13, 'seconds': 37}",63,252452117,25245211702,Indiana,Big Ten,3,False,1,"{'minutes': 13, 'seconds': 56}",73,10,2005
2,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 37}",1,{'minutes': 12},64,252452117,25245211703,Central Michigan,Mid-American,4,False,1,"{'minutes': 13, 'seconds': 37}",0,64,2005
3,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 41}",1,"{'minutes': 10, 'seconds': 19}",78,252452117,25245211704,Indiana,Big Ten,3,False,1,{'minutes': 12},80,2,2005
4,Indiana,Big Ten,PUNT,"{'minutes': 3, 'seconds': 29}",1,"{'minutes': 6, 'seconds': 50}",46,252452117,25245211705,Central Michigan,Mid-American,7,False,1,"{'minutes': 10, 'seconds': 19}",28,18,2005
5,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 43}",1,"{'minutes': 5, 'seconds': 7}",71,252452117,25245211706,Indiana,Big Ten,3,False,1,"{'minutes': 6, 'seconds': 50}",71,0,2005
6,Indiana,Big Ten,FG MISSED,"{'minutes': 4, 'seconds': 9}",1,{'seconds': 58},77,252452117,25245211707,Central Michigan,Mid-American,9,False,1,"{'minutes': 5, 'seconds': 7}",29,48,2005
7,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 19}",2,"{'minutes': 14, 'seconds': 47}",81,252452117,25245211708,Indiana,Big Ten,3,False,1,{'seconds': 58},77,-4,2005
8,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 4}",2,"{'minutes': 13, 'seconds': 43}",36,252452117,25245211709,Central Michigan,Mid-American,3,False,2,"{'minutes': 14, 'seconds': 47}",35,1,2005
9,Central Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 40}",2,"{'minutes': 11, 'seconds': 3}",68,252452117,25245211710,Indiana,Big Ten,5,False,2,"{'minutes': 13, 'seconds': 43}",76,8,2005
10,Indiana,Big Ten,TURNOVER ON DOWNS,{'seconds': 19},2,"{'minutes': 10, 'seconds': 44}",33,252452117,25245211711,Central Michigan,Mid-American,4,False,2,"{'minutes': 11, 'seconds': 3}",28,5,2005
11,Indiana,Big Ten,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 31}",2,"{'minutes': 6, 'seconds': 13}",82,252452117,25245211712,Central Michigan,Mid-American,5,True,2,"{'minutes': 10, 'seconds': 44}",65,0,2005
12,Indiana,Big Ten,FG GOOD,"{'minutes': 1, 'seconds': 47}",2,"{'minutes': 6, 'seconds': 13}",18,252452117,25245211714,Central Michigan,Mid-American,1,True,2,{'minutes': 8},18,31,2005
13,Central Michigan,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 26}",2,"{'minutes': 3, 'seconds': 47}",0,252452117,25245211715,Indiana,Big Ten,6,True,2,"{'minutes': 6, 'seconds': 13}",50,50,2005
14,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 11}",2,"{'minutes': 2, 'seconds': 36}",11,252452117,25245211716,Central Michigan,Mid-American,3,False,2,"{'minutes': 3, 'seconds': 47}",7,4,2005
15,Central Michigan,Mid-American,Uncategorized,"{'minutes': 1, 'seconds': 24}",2,"{'minutes': 1, 'seconds': 12}",110,252452117,25245211717,Indiana,Big Ten,3,True,2,"{'minutes': 2, 'seconds': 36}",55,55,2005
16,Indiana,Big Ten,END OF HALF,"{'minutes': 1, 'seconds': 12}",3,{'minutes': 15},35,252452117,25245211718,Central Michigan,Mid-American,5,False,2,"{'minutes': 1, 'seconds': 12}",28,7,2005
17,Central Michigan,Mid-American,FG MISSED,"{'minutes': 4, 'seconds': 47}",3,"{'minutes': 10, 'seconds': 13}",20,252452117,25245211719,Indiana,Big Ten,13,False,3,{'minutes': 15},65,45,2005
18,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 27}",3,"{'minutes': 8, 'seconds': 46}",78,252452117,25245211720,Central Michigan,Mid-American,3,False,3,"{'minutes': 10, 'seconds': 13}",80,-2,2005
19,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 15}",3,"{'minutes': 7, 'seconds': 31}",45,252452117,25245211721,Indiana,Big Ten,8,False,3,"{'minutes': 8, 'seconds': 46}",52,7,2005
20,Indiana,Big Ten,FG GOOD,"{'minutes': 2, 'seconds': 43}",3,"{'minutes': 4, 'seconds': 48}",78,252452117,25245211722,Central Michigan,Mid-American,9,True,3,"{'minutes': 7, 'seconds': 31}",22,56,2005
21,Central Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 48}",3,{'minutes': 2},45,252452117,25245211723,Indiana,Big Ten,6,False,3,"{'minutes': 4, 'seconds': 48}",54,9,2005
22,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 16}",3,{'seconds': 44},10,252452117,25245211724,Central Michigan,Mid-American,3,False,3,{'minutes': 2},7,3,2005
23,Central Michigan,Mid-American,INT,{'seconds': 44},4,{'minutes': 15},17,252452117,25245211725,Indiana,Big Ten,3,False,3,{'seconds': 44},32,15,2005
24,Indiana,Big Ten,RUSHING TD,"{'minutes': 1, 'seconds': 13}",4,"{'minutes': 13, 'seconds': 47}",100,252452117,25245211726,Central Michigan,Mid-American,3,True,4,{'minutes': 15},20,80,2005
25,Central Michigan,Mid-American,PASSING TD,{},4,"{'minutes': 13, 'seconds': 47}",0,252452117,25245211727,Indiana,Big Ten,1,True,4,"{'minutes': 13, 'seconds': 47}",74,74,2005
26,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 26}",4,"{'minutes': 12, 'seconds': 21}",62,252452117,25245211728,Central Michigan,Mid-American,3,False,4,"{'minutes': 13, 'seconds': 47}",56,6,2005
27,Central Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 32}",4,"{'minutes': 9, 'seconds': 49}",82,252452117,25245211729,Indiana,Big Ten,3,False,4,"{'minutes': 12, 'seconds': 21}",88,6,2005
28,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 9}",4,"{'minutes': 8, 'seconds': 40}",66,252452117,25245211730,Central Michigan,Mid-American,4,False,4,"{'minutes': 9, 'seconds': 49}",53,13,2005
29,Central Michigan,Mid-American,PUNT,"{'minutes': 3, 'seconds': 47}",4,"{'minutes': 4, 'seconds': 53}",39,252452117,25245211731,Indiana,Big Ten,8,False,4,"{'minutes': 8, 'seconds': 40}",80,41,2005
30,Indiana,Big Ten,PUNT,"{'minutes': 1, 'seconds': 10}",4,"{'minutes': 3, 'seconds': 43}",11,252452117,25245211732,Central Michigan,Mid-American,3,False,4,"{'minutes': 4, 'seconds': 53}",11,0,2005
31,Central Michigan,Mid-American,END OF GAME,"{'minutes': 3, 'seconds': 43}",4,{},15,252452117,25245211733,Indiana,Big Ten,7,False,4,"{'minutes': 3, 'seconds': 43}",56,41,2005
32,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 21}",1,"{'minutes': 12, 'seconds': 32}",59,252600213,25260021301,Central Michigan,Mid-American,6,False,1,"{'minutes': 14, 'seconds': 53}",77,18,2005
33,Central Michigan,Mid-American,RUSHING TD,"{'minutes': 2, 'seconds': 17}",1,"{'minutes': 10, 'seconds': 15}",100,252600213,25260021302,Penn State,Big Ten,5,True,1,"{'minutes': 12, 'seconds': 32}",22,78,2005
34,Penn State,Big Ten,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 28}",1,"{'minutes': 7, 'seconds': 47}",54,252600213,25260021303,Central Michigan,Mid-American,7,False,1,"{'minutes': 10, 'seconds': 15}",64,10,2005
35,Central Michigan,Mid-American,FG MISSED,"{'minutes': 2, 'seconds': 41}",1,"{'minutes': 5, 'seconds': 6}",82,252600213,25260021304,Penn State,Big Ten,7,False,1,"{'minutes': 7, 'seconds': 47}",54,28,2005
36,Penn State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 24}",1,"{'minutes': 3, 'seconds': 42}",90,252600213,25260021305,Central Michigan,Mid-American,3,False,1,"{'minutes': 5, 'seconds': 6}",82,-8,2005
37,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 8}",1,"{'minutes': 2, 'seconds': 34}",44,252600213,25260021306,Penn State,Big Ten,3,False,1,"{'minutes': 3, 'seconds': 42}",38,6,2005
38,Penn State,Big Ten,PUNT,"{'minutes': 3, 'seconds': 20}",2,"{'minutes': 14, 'seconds': 14}",58,252600213,25260021307,Central Michigan,Mid-American,10,False,1,"{'minutes': 2, 'seconds': 34}",81,23,2005
39,Central Michigan,Mid-American,FG GOOD,"{'minutes': 2, 'seconds': 18}",2,"{'minutes': 11, 'seconds': 56}",84,252600213,25260021308,Penn State,Big Ten,6,True,2,"{'minutes': 14, 'seconds': 14}",34,50,2005
40,Penn State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 20}",2,"{'minutes': 10, 'seconds': 36}",75,252600213,25260021309,Central Michigan,Mid-American,3,False,2,"{'minutes': 11, 'seconds': 56}",80,5,2005
41,Central Michigan,Mid-American,INT,"{'minutes': 1, 'seconds': 24}",2,"{'minutes': 9, 'seconds': 12}",36,252600213,25260021310,Penn State,Big Ten,4,False,2,"{'minutes': 10, 'seconds': 36}",21,15,2005
42,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 58}",2,"{'minutes': 6, 'seconds': 14}",36,252600213,25260021311,Central Michigan,Mid-American,7,False,2,"{'minutes': 9, 'seconds': 12}",42,6,2005
43,Central Michigan,Mid-American,PASSING TD,{'seconds': 47},2,"{'minutes': 5, 'seconds': 27}",100,252600213,25260021312,Penn State,Big Ten,3,True,2,"{'minutes': 6, 'seconds': 14}",33,80,2005
44,Penn State,Big Ten,PUNT,{'seconds': 52},2,"{'minutes': 4, 'seconds': 35}",89,252600213,25260021313,Central Michigan,Mid-American,3,False,2,"{'minutes': 5, 'seconds': 27}",83,-6,2005
45,Central Michigan,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 38}",2,"{'minutes': 2, 'seconds': 57}",100,252600213,25260021314,Penn State,Big Ten,3,True,2,"{'minutes': 4, 'seconds': 35}",56,44,2005
46,Penn State,Big Ten,PUNT,{'seconds': 32},2,"{'minutes': 2, 'seconds': 25}",72,252600213,25260021315,Central Michigan,Mid-American,3,False,2,"{'minutes': 2, 'seconds': 57}",80,8,2005
47,Penn State,Big Ten,FG GOOD,"{'minutes': 2, 'seconds': 6}",2,{'seconds': 19},16,252600213,25260021317,Central Michigan,Mid-American,5,True,2,"{'minutes': 2, 'seconds': 25}",12,-4,2005
48,Central Michigan,Mid-American,FG GOOD,{'seconds': 19},2,{},80,252600213,25260021318,Penn State,Big Ten,3,True,2,{'seconds': 19},62,18,2005
49,Central Michigan,Mid-American,PASSING TD,"{'minutes': 1, 'seconds': 46}",3,"{'minutes': 13, 'seconds': 14}",100,252600213,25260021319,Penn State,Big Ten,6,True,3,{'minutes': 15},19,81,2005
50,Penn State,Big Ten,PUNT,"{'minutes': 1, 'seconds': 6}",3,"{'minutes': 12, 'seconds': 8}",86,252600213,25260021320,Central Michigan,Mid-American,3,False,3,"{'minutes': 13, 'seconds': 14}",78,-8,2005
51,Central Michigan,Mid-American,PUNT,"{'minutes': 3, 'seconds': 29}",3,"{'minutes': 8, 'seconds': 39}",58,252600213,25260021321,Penn State,Big Ten,8,False,3,"{'minutes': 12, 'seconds': 8}",45,13,2005
52,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 14}",3,"{'minutes': 6, 'seconds': 25}",56,252600213,25260021322,Central Michigan,Mid-American,6,False,3,"{'minutes': 8, 'seconds': 39}",89,32,2005
53,Central Michigan,Mid-American,FUMBLE,"{'minutes': 2, 'seconds': 4}",3,"{'minutes': 4, 'seconds': 21}",13,252600213,25260021323,Penn State,Big Ten,5,False,3,"{'minutes': 6, 'seconds': 25}",10,3,2005
54,Penn State,Big Ten,FG MISSED,{'seconds': 40},3,"{'minutes': 3, 'seconds': 41}",31,252600213,25260021324,Central Michigan,Mid-American,4,False,3,"{'minutes': 4, 'seconds': 21}",13,-18,2005
55,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 48}",3,"{'minutes': 1, 'seconds': 53}",40,252600213,25260021325,Penn State,Big Ten,3,False,3,"{'minutes': 3, 'seconds': 41}",31,9,2005
56,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 34}",4,"{'minutes': 14, 'seconds': 19}",54,252600213,25260021326,Central Michigan,Mid-American,5,False,3,"{'minutes': 1, 'seconds': 53}",80,26,2005
57,Central Michigan,Mid-American,PUNT,"{'minutes': 3, 'seconds': 34}",4,"{'minutes': 10, 'seconds': 45}",39,252600213,25260021327,Penn State,Big Ten,7,False,4,"{'minutes': 14, 'seconds': 19}",22,17,2005
58,Penn State,Big Ten,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 5}",4,"{'minutes': 6, 'seconds': 40}",39,252600213,25260021328,Central Michigan,Mid-American,11,False,4,"{'minutes': 10, 'seconds': 45}",81,42,2005
59,Central Michigan,Mid-American,PASSING TD,{'seconds': 46},4,"{'minutes': 5, 'seconds': 54}",100,252600213,25260021329,Penn State,Big Ten,3,True,4,"{'minutes': 6, 'seconds': 40}",39,61,2005
60,Penn State,Big Ten,PUNT,"{'minutes': 2, 'seconds': 57}",4,"{'minutes': 2, 'seconds': 57}",52,252600213,25260021330,Central Michigan,Mid-American,5,False,4,"{'minutes': 5, 'seconds': 54}",74,22,2005
61,Central Michigan,Mid-American,END OF GAME,"{'minutes': 2, 'seconds': 57}",4,{},52,252600213,25260021331,Penn State,Big Ten,6,False,4,"{'minutes': 2, 'seconds': 57}",18,34,2005
62,Central Michigan,Mid-American,FG MISSED,"{'minutes': 3, 'seconds': 53}",1,{'minutes': 11},1,252672117,25267211701,Eastern Michigan,Mid-American,11,False,1,"{'minutes': 14, 'seconds': 53}",77,76,2005
63,Eastern Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 16}",1,"{'minutes': 9, 'seconds': 44}",23,252672117,25267211702,Central Michigan,Mid-American,3,False,1,{'minutes': 11},20,3,2005
64,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 36}",1,"{'minutes': 8, 'seconds': 8}",77,252672117,25267211703,Eastern Michigan,Mid-American,3,False,1,"{'minutes': 9, 'seconds': 44}",86,9,2005
65,Eastern Michigan,Mid-American,FG GOOD,"{'minutes': 3, 'seconds': 16}",1,"{'minutes': 4, 'seconds': 52}",82,252672117,25267211704,Central Michigan,Mid-American,7,True,1,"{'minutes': 8, 'seconds': 8}",40,42,2005
66,Central Michigan,Mid-American,FG MISSED,"{'minutes': 3, 'seconds': 35}",1,"{'minutes': 1, 'seconds': 17}",32,252672117,25267211705,Eastern Michigan,Mid-American,8,False,1,"{'minutes': 4, 'seconds': 52}",64,32,2005
67,Eastern Michigan,Mid-American,RUSHING TD,"{'minutes': 3, 'seconds': 31}",2,"{'minutes': 12, 'seconds': 41}",100,252672117,25267211706,Central Michigan,Mid-American,11,True,1,"{'minutes': 1, 'seconds': 17}",20,80,2005
68,Central Michigan,Mid-American,PASSING TD,"{'minutes': 3, 'seconds': 26}",2,"{'minutes': 9, 'seconds': 15}",0,252672117,25267211707,Eastern Michigan,Mid-American,9,True,2,"{'minutes': 12, 'seconds': 41}",61,61,2005
69,Eastern Michigan,Mid-American,FG GOOD,"{'minutes': 4, 'seconds': 40}",2,"{'minutes': 4, 'seconds': 35}",82,252672117,25267211708,Central Michigan,Mid-American,13,True,2,"{'minutes': 9, 'seconds': 15}",20,62,2005
70,Central Michigan,Mid-American,END OF HALF,"{'minutes': 2, 'seconds': 39}",2,"{'minutes': 1, 'seconds': 56}",0,252672117,25267211709,Eastern Michigan,Mid-American,7,True,2,"{'minutes': 4, 'seconds': 35}",65,65,2005
71,Eastern Michigan,Mid-American,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 1}",2,{'seconds': 55},67,252672117,25267211710,Central Michigan,Mid-American,6,False,2,"{'minutes': 1, 'seconds': 56}",35,32,2005
72,Central Michigan,Mid-American,END OF HALF,{'seconds': 55},2,{},3,252672117,25267211711,Eastern Michigan,Mid-American,5,False,2,{'seconds': 55},67,64,2005
73,Eastern Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 54}",3,"{'minutes': 12, 'seconds': 6}",60,252672117,25267211712,Central Michigan,Mid-American,6,False,3,{'minutes': 15},30,30,2005
74,Central Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 15}",3,"{'minutes': 9, 'seconds': 51}",75,252672117,25267211713,Eastern Michigan,Mid-American,5,False,3,"{'minutes': 12, 'seconds': 6}",95,20,2005
75,Eastern Michigan,Mid-American,RUSHING TD,"{'minutes': 2, 'seconds': 40}",3,"{'minutes': 7, 'seconds': 11}",100,252672117,25267211714,Central Michigan,Mid-American,6,True,3,"{'minutes': 9, 'seconds': 51}",55,45,2005
76,Central Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 9}",3,"{'minutes': 5, 'seconds': 2}",75,252672117,25267211715,Eastern Michigan,Mid-American,3,False,3,"{'minutes': 7, 'seconds': 11}",80,5,2005
77,Eastern Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 42}",3,"{'minutes': 2, 'seconds': 20}",77,252672117,25267211716,Central Michigan,Mid-American,6,False,3,"{'minutes': 5, 'seconds': 2}",49,28,2005
78,Central Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 30}",4,"{'minutes': 14, 'seconds': 50}",54,252672117,25267211717,Eastern Michigan,Mid-American,5,False,3,"{'minutes': 2, 'seconds': 20}",80,26,2005
79,Eastern Michigan,Mid-American,PUNT,"{'minutes': 2, 'seconds': 17}",4,"{'minutes': 12, 'seconds': 33}",45,252672117,25267211718,Central Michigan,Mid-American,5,False,4,"{'minutes': 14, 'seconds': 50}",24,21,2005
80,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 47}",4,"{'minutes': 10, 'seconds': 46}",50,252672117,25267211719,Eastern Michigan,Mid-American,6,False,4,"{'minutes': 12, 'seconds': 33}",84,34,2005
81,Eastern Michigan,Mid-American,PUNT,{'seconds': 50},4,"{'minutes': 9, 'seconds': 56}",19,252672117,25267211720,Central Michigan,Mid-American,3,False,4,"{'minutes': 10, 'seconds': 46}",15,4,2005
82,Central Michigan,Mid-American,FG GOOD,"{'minutes': 1, 'seconds': 23}",4,"{'minutes': 8, 'seconds': 33}",8,252672117,25267211721,Eastern Michigan,Mid-American,5,True,4,"{'minutes': 9, 'seconds': 56}",59,51,2005
83,Eastern Michigan,Mid-American,TURNOVER ON DOWNS,"{'minutes': 4, 'seconds': 24}",4,"{'minutes': 4, 'seconds': 9}",78,252672117,25267211722,Central Michigan,Mid-American,9,False,4,"{'minutes': 8, 'seconds': 33}",36,42,2005
84,Central Michigan,Mid-American,FG GOOD,"{'minutes': 4, 'seconds': 9}",4,{},2,252672117,25267211723,Eastern Michigan,Mid-American,19,True,4,"{'minutes': 4, 'seconds': 9}",78,76,2005
85,Eastern Michigan,Mid-American,TURNOVER ON DOWNS,{},5,{'minutes': 15},58,252672117,25267211724,Central Michigan,Mid-American,4,False,5,{'minutes': 15},75,-17,2005
86,Central Michigan,Mid-American,Uncategorized,{'minutes': 15},5,{},32,252672117,25267211726,Eastern Michigan,Mid-American,2,True,5,{'minutes': 15},25,7,2005
87,Central Michigan,Mid-American,Uncategorized,{},1,{'minutes': 15},35,252742006,25274200601,Akron,Mid-American,0,False,1,{'minutes': 15},35,0,2005
88,Akron,Mid-American,PUNT,"{'minutes': 1, 'seconds': 33}",1,"{'minutes': 13, 'seconds': 27}",51,252742006,25274200602,Central Michigan,Mid-American,4,False,1,{'minutes': 15},69,18,2005
89,Central Michigan,Mid-American,FG GOOD,"{'minutes': 6, 'seconds': 10}",1,"{'minutes': 7, 'seconds': 17}",85,252742006,25274200603,Akron,Mid-American,14,True,1,"{'minutes': 13, 'seconds': 27}",16,69,2005
90,Akron,Mid-American,PUNT,"{'minutes': 1, 'seconds': 19}",1,"{'minutes': 5, 'seconds': 58}",69,252742006,25274200604,Central Michigan,Mid-American,3,False,1,"{'minutes': 7, 'seconds': 17}",76,7,2005
91,Central Michigan,Mid-American,PASSING TD,"{'minutes': 3, 'seconds': 28}",1,"{'minutes': 2, 'seconds': 30}",100,252742006,25274200605,Akron,Mid-American,8,True,1,"{'minutes': 5, 'seconds': 58}",18,82,2005
92,Akron,Mid-American,INT,"{'minutes': 2, 'seconds': 30}",1,{},1,252742006,25274200606,Central Michigan,Mid-American,7,False,1,"{'minutes': 2, 'seconds': 30}",61,60,2005
93,Central Michigan,Mid-American,INT,{'seconds': 59},2,"{'minutes': 14, 'seconds': 1}",40,252742006,25274200607,Akron,Mid-American,2,False,1,{},20,20,2005
94,Akron,Mid-American,FG MISSED,{'seconds': 47},2,"{'minutes': 13, 'seconds': 14}",26,252742006,25274200608,Central Michigan,Mid-American,4,False,2,"{'minutes': 14, 'seconds': 1}",26,0,2005
95,Central Michigan,Mid-American,PUNT,"{'minutes': 3, 'seconds': 18}",2,"{'minutes': 9, 'seconds': 56}",55,252742006,25274200609,Akron,Mid-American,6,False,2,"{'minutes': 13, 'seconds': 14}",26,29,2005
96,Akron,Mid-American,PUNT,"{'minutes': 2, 'seconds': 3}",2,"{'minutes': 7, 'seconds': 53}",62,252742006,25274200610,Central Michigan,Mid-American,5,False,2,"{'minutes': 9, 'seconds': 56}",80,18,2005
97,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 5}",2,"{'minutes': 6, 'seconds': 48}",21,252742006,25274200611,Akron,Mid-American,3,False,2,"{'minutes': 7, 'seconds': 53}",18,3,2005
98,Akron,Mid-American,PASSING TD,{'seconds': 43},2,"{'minutes': 6, 'seconds': 5}",0,252742006,25274200612,Central Michigan,Mid-American,3,True,2,"{'minutes': 6, 'seconds': 48}",58,58,2005
99,Central Michigan,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 2}",2,"{'minutes': 4, 'seconds': 3}",100,252742006,25274200613,Akron,Mid-American,5,True,2,"{'minutes': 6, 'seconds': 5}",27,73,2005
100,Akron,Mid-American,PUNT,{'seconds': 56},2,"{'minutes': 3, 'seconds': 7}",61,252742006,25274200614,Central Michigan,Mid-American,3,False,2,"{'minutes': 4, 'seconds': 3}",70,9,2005
101,Central Michigan,Mid-American,FG MISSED,"{'minutes': 2, 'seconds': 58}",2,{'seconds': 9},70,252742006,25274200615,Akron,Mid-American,15,False,2,"{'minutes': 3, 'seconds': 7}",18,52,2005
102,Akron,Mid-American,END OF HALF,{'seconds': 9},2,{},70,252742006,25274200616,Central Michigan,Mid-American,1,False,2,{'seconds': 9},70,0,2005
103,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 32}",3,"{'minutes': 13, 'seconds': 21}",36,252742006,25274200617,Akron,Mid-American,3,False,3,"{'minutes': 14, 'seconds': 53}",41,-5,2005
104,Akron,Mid-American,RUSHING TD,"{'minutes': 1, 'seconds': 37}",3,"{'minutes': 11, 'seconds': 44}",0,252742006,25274200618,Central Michigan,Mid-American,5,True,3,"{'minutes': 13, 'seconds': 21}",65,65,2005
105,Central Michigan,Mid-American,PUNT,"{'minutes': 3, 'seconds': 24}",3,"{'minutes': 8, 'seconds': 20}",39,252742006,25274200619,Akron,Mid-American,8,False,3,"{'minutes': 11, 'seconds': 44}",19,20,2005
106,Akron,Mid-American,PUNT,"{'minutes': 1, 'seconds': 19}",3,"{'minutes': 7, 'seconds': 1}",48,252742006,25274200620,Central Michigan,Mid-American,3,False,3,"{'minutes': 8, 'seconds': 20}",52,4,2005
107,Central Michigan,Mid-American,INT,{'seconds': 57},3,"{'minutes': 6, 'seconds': 4}",22,252742006,25274200621,Akron,Mid-American,3,False,3,"{'minutes': 7, 'seconds': 1}",20,2,2005
108,Akron,Mid-American,FG GOOD,{'seconds': 58},3,"{'minutes': 5, 'seconds': 6}",15,252742006,25274200622,Central Michigan,Mid-American,4,True,3,"{'minutes': 6, 'seconds': 4}",23,8,2005
109,Central Michigan,Mid-American,PUNT,{'minutes': 1},3,"{'minutes': 4, 'seconds': 6}",28,252742006,25274200623,Akron,Mid-American,3,False,3,"{'minutes': 5, 'seconds': 6}",20,8,2005
110,Akron,Mid-American,PUNT,"{'minutes': 1, 'seconds': 32}",3,"{'minutes': 2, 'seconds': 34}",61,252742006,25274200624,Central Michigan,Mid-American,3,False,3,"{'minutes': 4, 'seconds': 6}",69,8,2005
111,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 36}",3,{'seconds': 58},29,252742006,25274200625,Akron,Mid-American,3,False,3,"{'minutes': 2, 'seconds': 34}",22,7,2005
112,Akron,Mid-American,PUNT,"{'minutes': 1, 'seconds': 12}",4,"{'minutes': 14, 'seconds': 46}",65,252742006,25274200626,Central Michigan,Mid-American,3,False,3,{'seconds': 58},71,6,2005
113,Central Michigan,Mid-American,PUNT,"{'minutes': 1, 'seconds': 39}",4,"{'minutes': 13, 'seconds': 7}",36,252742006,25274200627,Akron,Mid-American,3,False,4,"{'minutes': 14, 'seconds': 46}",42,-6,2005
114,Akron,Mid-American,RUSHING TD,"{'minutes': 1, 'seconds': 6}",4,"{'minutes': 12, 'seconds': 1}",0,252742006,25274200628,Central Michigan,Mid-American,4,True,4,"{'minutes': 13, 'seconds': 7}",77,77,2005
115,Central Michigan,Mid-American,FUMBLE,{},4,"{'minutes': 12, 'seconds': 1}",13,252742006,25274200629,Akron,Mid-American,1,False,4,"{'minutes': 12, 'seconds': 1}",24,-11,2005
116,Akron,Mid-American,FG MISSED,"{'minutes': 1, 'seconds': 35}",4,"{'minutes': 10, 'seconds': 26}",6,252742006,25274200630,Central Michigan,Mid-American,4,False,4,"{'minutes': 12, 'seconds': 1}",13,8,2005
117,Central Michigan,Mid-American,Uncategorized,{'seconds': 56},4,"{'minutes': 9, 'seconds': 30}",37,252742006,25274200631,Akron,Mid-American,3,False,4,"{'minutes': 10, 'seconds': 26}",35,2,2005
118,Akron,Mid-American,PASSING TD,"{'minutes': 3, 'seconds': 54}",4,"{'minutes': 5, 'seconds': 36}",0,252742006,25274200632,Central Michigan,Mid-American,9,True,4,"{'minutes': 9, 'seconds': 30}",75,75,2005
119,Central Michigan,Mid-American,INT,{'seconds': 24},4,"{'minutes': 5, 'seconds': 12}",80,252742006,25274200633,Akron,Mid-American,3,False,4,"{'minutes': 5, 'seconds': 36}",63,17,2005
120,Akron,Mid-American,END OF GAME,"{'minutes': 5, 'seconds': 12}",4,{},47,252742006,25274200634,Central Michigan,Mid-American,10,False,4,"{'minutes': 5, 'seconds': 12}",84,37,2005
121,Central Michigan,Mid-American,FUMBLE,"{'minutes': 2, 'seconds': 26}",1,"{'minutes': 12, 'seconds': 27}",75,252810349,25281034901,Army,FBS Independents,6,False,1,"{'minutes': 14, 'seconds': 53}",25,50,2005
122,Army,FBS Independents,FUMBLE,"{'minutes': 1, 'seconds': 20}",1,"{'minutes': 11, 'seconds': 7}",26,252810349,25281034902,Central Michigan,Mid-American,0,False,1,"{'minutes': 12, 'seconds': 27}",75,1,2005
123,Central Michigan,Mid-American,RUSHING TD,"{'minutes': 2, 'seconds': 25}",1,"{'minutes': 8, 'seconds': 42}",100,252810349,25281034903,Army,FBS Independents,6,True,1,"{'minutes': 11, 'seconds': 7}",74,26,2005
