,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Oklahoma,Big 12,PUNT,"{'minutes': 4, 'seconds': 13}",1,"{'minutes': 10, 'seconds': 47}",38,252460201,25246020101,TCU,Mountain West,9,False,1,{'minutes': 15},85,47,2005
1,TCU,Mountain West,PUNT,"{'minutes': 2, 'seconds': 58}",1,"{'minutes': 7, 'seconds': 49}",52,252460201,25246020102,Oklahoma,Big 12,6,False,1,"{'minutes': 10, 'seconds': 47}",20,32,2005
2,Oklahoma,Big 12,PUNT,"{'minutes': 2, 'seconds': 39}",1,"{'minutes': 5, 'seconds': 10}",88,252460201,25246020103,TCU,Mountain West,6,False,1,"{'minutes': 7, 'seconds': 49}",96,8,2005
3,TCU,Mountain West,FUMBLE,"{'minutes': 1, 'seconds': 12}",1,"{'minutes': 3, 'seconds': 58}",95,252460201,25246020104,Oklahoma,Big 12,6,False,1,"{'minutes': 5, 'seconds': 10}",60,35,2005
4,Oklahoma,Big 12,PUNT,"{'minutes': 2, 'seconds': 40}",1,"{'minutes': 1, 'seconds': 18}",82,252460201,25246020105,TCU,Mountain West,5,False,1,"{'minutes': 3, 'seconds': 58}",95,13,2005
5,TCU,Mountain West,PUNT,"{'minutes': 1, 'seconds': 18}",2,{'minutes': 15},54,252460201,25246020106,Oklahoma,Big 12,3,False,1,"{'minutes': 1, 'seconds': 18}",46,8,2005
6,Oklahoma,Big 12,PASSING TD,"{'minutes': 4, 'seconds': 55}",2,"{'minutes': 10, 'seconds': 5}",0,252460201,25246020107,TCU,Mountain West,11,True,2,{'minutes': 15},84,84,2005
7,TCU,Mountain West,PUNT,"{'minutes': 1, 'seconds': 2}",2,"{'minutes': 9, 'seconds': 3}",20,252460201,25246020108,Oklahoma,Big 12,3,False,2,"{'minutes': 10, 'seconds': 5}",20,0,2005
8,Oklahoma,Big 12,FG GOOD,"{'minutes': 1, 'seconds': 51}",2,"{'minutes': 7, 'seconds': 12}",8,252460201,25246020109,TCU,Mountain West,6,True,2,"{'minutes': 9, 'seconds': 3}",54,46,2005
9,TCU,Mountain West,PUNT,"{'minutes': 2, 'seconds': 3}",2,"{'minutes': 5, 'seconds': 9}",18,252460201,25246020110,Oklahoma,Big 12,3,False,2,"{'minutes': 7, 'seconds': 12}",25,-7,2005
10,Oklahoma,Big 12,PUNT,"{'minutes': 1, 'seconds': 1}",2,"{'minutes': 4, 'seconds': 8}",73,252460201,25246020111,TCU,Mountain West,3,False,2,"{'minutes': 5, 'seconds': 9}",63,-10,2005
11,TCU,Mountain West,PUNT,"{'minutes': 1, 'seconds': 3}",2,"{'minutes': 3, 'seconds': 5}",44,252460201,25246020112,Oklahoma,Big 12,4,False,2,"{'minutes': 4, 'seconds': 8}",20,24,2005
12,Oklahoma,Big 12,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 59}",2,{'seconds': 6},66,252460201,25246020113,TCU,Mountain West,8,False,2,"{'minutes': 3, 'seconds': 5}",80,14,2005
13,TCU,Mountain West,FG MISSED,{'seconds': 6},2,{},68,252460201,25246020114,Oklahoma,Big 12,2,False,2,{'seconds': 6},66,2,2005
14,Oklahoma,Big 12,END OF HALF,{},2,{},68,252460201,25246020115,TCU,Mountain West,1,False,2,{},68,0,2005
15,TCU,Mountain West,RUSHING TD,{'minutes': 4},3,{'minutes': 11},100,252460201,25246020116,Oklahoma,Big 12,9,True,3,{'minutes': 15},28,72,2005
16,Oklahoma,Big 12,PUNT,"{'minutes': 3, 'seconds': 5}",3,"{'minutes': 7, 'seconds': 55}",55,252460201,25246020117,TCU,Mountain West,5,False,3,{'minutes': 11},86,31,2005
17,TCU,Mountain West,PUNT,"{'minutes': 2, 'seconds': 9}",3,"{'minutes': 5, 'seconds': 46}",34,252460201,25246020118,Oklahoma,Big 12,5,False,3,"{'minutes': 7, 'seconds': 55}",19,15,2005
18,Oklahoma,Big 12,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 31}",3,"{'minutes': 4, 'seconds': 15}",83,252460201,25246020119,TCU,Mountain West,4,False,3,"{'minutes': 5, 'seconds': 46}",69,-14,2005
19,TCU,Mountain West,FG GOOD,"{'minutes': 2, 'seconds': 34}",3,"{'minutes': 1, 'seconds': 41}",96,252460201,25246020120,Oklahoma,Big 12,6,True,3,"{'minutes': 4, 'seconds': 15}",83,13,2005
20,Oklahoma,Big 12,PUNT,{'seconds': 56},3,{'seconds': 45},78,252460201,25246020121,TCU,Mountain West,3,False,3,"{'minutes': 1, 'seconds': 41}",80,2,2005
21,TCU,Mountain West,PUNT,{'seconds': 57},4,"{'minutes': 14, 'seconds': 48}",36,252460201,25246020122,Oklahoma,Big 12,3,False,3,{'seconds': 45},32,4,2005
22,Oklahoma,Big 12,PUNT,"{'minutes': 1, 'seconds': 16}",4,"{'minutes': 13, 'seconds': 32}",76,252460201,25246020123,TCU,Mountain West,3,False,4,"{'minutes': 14, 'seconds': 48}",71,-5,2005
23,TCU,Mountain West,FUMBLE,{'seconds': 5},4,"{'minutes': 13, 'seconds': 27}",16,252460201,25246020124,Oklahoma,Big 12,1,False,4,"{'minutes': 13, 'seconds': 32}",31,-15,2005
24,Oklahoma,Big 12,RUSHING TD,"{'minutes': 1, 'seconds': 31}",4,"{'minutes': 11, 'seconds': 56}",0,252460201,25246020125,TCU,Mountain West,4,True,4,"{'minutes': 13, 'seconds': 27}",17,17,2005
25,TCU,Mountain West,PUNT,"{'minutes': 1, 'seconds': 22}",4,"{'minutes': 10, 'seconds': 34}",41,252460201,25246020126,Oklahoma,Big 12,5,False,4,"{'minutes': 11, 'seconds': 56}",28,13,2005
26,Oklahoma,Big 12,PUNT,{'minutes': 1},4,"{'minutes': 9, 'seconds': 34}",88,252460201,25246020127,TCU,Mountain West,3,False,4,"{'minutes': 10, 'seconds': 34}",91,3,2005
27,TCU,Mountain West,INT,{'seconds': 48},4,"{'minutes': 8, 'seconds': 46}",54,252460201,25246020128,Oklahoma,Big 12,2,False,4,"{'minutes': 9, 'seconds': 34}",48,6,2005
28,Oklahoma,Big 12,INT,"{'minutes': 3, 'seconds': 3}",4,"{'minutes': 5, 'seconds': 43}",36,252460201,25246020129,TCU,Mountain West,6,False,4,"{'minutes': 8, 'seconds': 46}",63,27,2005
29,TCU,Mountain West,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 30}",4,"{'minutes': 4, 'seconds': 13}",55,252460201,25246020130,Oklahoma,Big 12,4,False,4,"{'minutes': 5, 'seconds': 43}",53,2,2005
30,Oklahoma,Big 12,PUNT,"{'minutes': 2, 'seconds': 10}",4,"{'minutes': 2, 'seconds': 3}",49,252460201,25246020131,TCU,Mountain West,3,False,4,"{'minutes': 4, 'seconds': 13}",55,6,2005
31,TCU,Mountain West,FUMBLE,{'seconds': 55},4,"{'minutes': 1, 'seconds': 8}",25,252460201,25246020132,Oklahoma,Big 12,6,False,4,"{'minutes': 2, 'seconds': 3}",20,5,2005
32,Oklahoma,Big 12,END OF GAME,"{'minutes': 1, 'seconds': 8}",4,{},28,252460201,25246020133,TCU,Mountain West,3,False,4,"{'minutes': 1, 'seconds': 8}",25,-3,2005
33,Oklahoma,Big 12,PUNT,"{'minutes': 1, 'seconds': 39}",1,"{'minutes': 13, 'seconds': 21}",80,252530201,25253020101,Tulsa,Conference USA,2,False,1,{'minutes': 15},80,0,2005
34,Tulsa,Conference USA,RUSHING TD,"{'minutes': 4, 'seconds': 45}",1,"{'minutes': 8, 'seconds': 36}",100,252530201,25253020102,Oklahoma,Big 12,10,True,1,"{'minutes': 13, 'seconds': 21}",59,41,2005
35,Oklahoma,Big 12,PUNT,"{'minutes': 3, 'seconds': 31}",1,"{'minutes': 5, 'seconds': 5}",69,252530201,25253020103,Tulsa,Conference USA,7,False,1,"{'minutes': 8, 'seconds': 36}",83,14,2005
36,Tulsa,Conference USA,PUNT,{'seconds': 59},1,"{'minutes': 4, 'seconds': 6}",18,252530201,25253020104,Oklahoma,Big 12,3,False,1,"{'minutes': 5, 'seconds': 5}",20,-2,2005
37,Oklahoma,Big 12,PUNT,"{'minutes': 1, 'seconds': 36}",1,"{'minutes': 2, 'seconds': 30}",55,252530201,25253020105,Tulsa,Conference USA,3,False,1,"{'minutes': 4, 'seconds': 6}",59,4,2005
38,Tulsa,Conference USA,INT,"{'minutes': 1, 'seconds': 36}",1,{'seconds': 54},31,252530201,25253020106,Oklahoma,Big 12,4,False,1,"{'minutes': 2, 'seconds': 30}",20,11,2005
39,Oklahoma,Big 12,FG GOOD,"{'minutes': 4, 'seconds': 26}",2,"{'minutes': 11, 'seconds': 17}",35,252530201,25253020107,Tulsa,Conference USA,9,True,1,{'seconds': 54},70,35,2005
40,Tulsa,Conference USA,PUNT,"{'minutes': 1, 'seconds': 25}",2,"{'minutes': 9, 'seconds': 52}",16,252530201,25253020108,Oklahoma,Big 12,3,False,2,"{'minutes': 11, 'seconds': 17}",10,6,2005
41,Oklahoma,Big 12,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 37}",2,"{'minutes': 7, 'seconds': 15}",15,252530201,25253020109,Tulsa,Conference USA,5,False,2,"{'minutes': 9, 'seconds': 52}",40,25,2005
42,Tulsa,Conference USA,PUNT,"{'minutes': 1, 'seconds': 15}",2,{'minutes': 6},15,252530201,25253020110,Oklahoma,Big 12,3,False,2,"{'minutes': 7, 'seconds': 15}",15,0,2005
43,Oklahoma,Big 12,PUNT,"{'minutes': 3, 'seconds': 50}",2,"{'minutes': 2, 'seconds': 10}",56,252530201,25253020111,Tulsa,Conference USA,7,False,2,{'minutes': 6},75,19,2005
44,Tulsa,Conference USA,INT,"{'minutes': 1, 'seconds': 1}",2,"{'minutes': 1, 'seconds': 9}",47,252530201,25253020112,Oklahoma,Big 12,6,False,2,"{'minutes': 2, 'seconds': 10}",21,26,2005
45,Oklahoma,Big 12,FG GOOD,"{'minutes': 1, 'seconds': 4}",2,{'seconds': 5},4,252530201,25253020113,Tulsa,Conference USA,5,True,2,"{'minutes': 1, 'seconds': 9}",32,28,2005
46,Tulsa,Conference USA,END OF HALF,{'seconds': 5},2,{},32,252530201,25253020114,Oklahoma,Big 12,1,False,2,{'seconds': 5},29,3,2005
47,Tulsa,Conference USA,PUNT,"{'minutes': 1, 'seconds': 58}",3,"{'minutes': 13, 'seconds': 2}",16,252530201,25253020115,Oklahoma,Big 12,3,False,3,{'minutes': 15},35,-19,2005
48,Oklahoma,Big 12,FG GOOD,"{'minutes': 7, 'seconds': 26}",3,"{'minutes': 5, 'seconds': 36}",1,252530201,25253020116,Tulsa,Conference USA,13,True,3,"{'minutes': 13, 'seconds': 2}",85,84,2005
49,Tulsa,Conference USA,RUSHING TD,"{'minutes': 1, 'seconds': 20}",3,"{'minutes': 4, 'seconds': 16}",100,252530201,25253020117,Oklahoma,Big 12,5,True,3,"{'minutes': 5, 'seconds': 36}",42,58,2005
50,Oklahoma,Big 12,PUNT,"{'minutes': 1, 'seconds': 25}",3,"{'minutes': 2, 'seconds': 51}",72,252530201,25253020118,Tulsa,Conference USA,3,False,3,"{'minutes': 4, 'seconds': 16}",80,8,2005
51,Tulsa,Conference USA,FG GOOD,"{'minutes': 3, 'seconds': 32}",4,"{'minutes': 14, 'seconds': 19}",88,252530201,25253020119,Oklahoma,Big 12,7,True,3,"{'minutes': 2, 'seconds': 51}",45,43,2005
52,Oklahoma,Big 12,RUSHING TD,"{'minutes': 5, 'seconds': 9}",4,"{'minutes': 9, 'seconds': 10}",0,252530201,25253020120,Tulsa,Conference USA,14,True,4,"{'minutes': 14, 'seconds': 19}",70,70,2005
53,Tulsa,Conference USA,Uncategorized,"{'minutes': 6, 'seconds': 6}",4,"{'minutes': 3, 'seconds': 4}",100,252530201,25253020121,Oklahoma,Big 12,11,True,4,"{'minutes': 9, 'seconds': 10}",9,91,2005
54,Oklahoma,Big 12,FUMBLE,{'minutes': 1},4,"{'minutes': 2, 'seconds': 4}",44,252530201,25253020122,Tulsa,Conference USA,6,False,4,"{'minutes': 3, 'seconds': 4}",76,32,2005
55,Tulsa,Conference USA,PUNT,"{'minutes': 1, 'seconds': 7}",4,{'seconds': 57},42,252530201,25253020123,Oklahoma,Big 12,3,False,4,"{'minutes': 2, 'seconds': 4}",44,-2,2005
56,Oklahoma,Big 12,INT,{'seconds': 54},4,{'seconds': 3},54,252530201,25253020124,Tulsa,Conference USA,4,True,4,{'seconds': 57},80,26,2005
57,Tulsa,Conference USA,INT RETURN TOUCH,{},4,{'seconds': 3},100,252530201,25253020125,Oklahoma,Big 12,1,True,4,{'seconds': 3},97,50,2005
58,Oklahoma,Big 12,FG MISSED,"{'minutes': 3, 'seconds': 24}",1,"{'minutes': 11, 'seconds': 36}",76,252600026,25260002601,UCLA,Pac-10,11,False,1,{'minutes': 15},20,56,2005
59,UCLA,Pac-10,RUSHING TD,{'minutes': 1},1,"{'minutes': 10, 'seconds': 36}",0,252600026,25260002602,Oklahoma,Big 12,4,True,1,"{'minutes': 11, 'seconds': 36}",76,76,2005
60,Oklahoma,Big 12,PUNT,"{'minutes': 2, 'seconds': 38}",1,"{'minutes': 7, 'seconds': 58}",46,252600026,25260002603,UCLA,Pac-10,7,False,1,"{'minutes': 10, 'seconds': 36}",15,31,2005
61,UCLA,Pac-10,PUNT,"{'minutes': 1, 'seconds': 26}",1,"{'minutes': 6, 'seconds': 32}",85,252600026,25260002604,Oklahoma,Big 12,3,False,1,"{'minutes': 7, 'seconds': 58}",93,8,2005
62,Oklahoma,Big 12,PUNT,{'seconds': 55},1,"{'minutes': 5, 'seconds': 37}",45,252600026,25260002605,UCLA,Pac-10,3,False,1,"{'minutes': 6, 'seconds': 32}",44,1,2005
63,Oklahoma,Big 12,PASSING TD,{'seconds': 17},1,"{'minutes': 5, 'seconds': 20}",100,252600026,25260002607,UCLA,Pac-10,1,True,1,"{'minutes': 5, 'seconds': 37}",81,19,2005
64,UCLA,Pac-10,PUNT,"{'minutes': 1, 'seconds': 55}",1,"{'minutes': 3, 'seconds': 25}",75,252600026,25260002608,Oklahoma,Big 12,4,False,1,"{'minutes': 5, 'seconds': 20}",93,18,2005
65,Oklahoma,Big 12,PUNT,"{'minutes': 1, 'seconds': 25}",1,{'minutes': 2},39,252600026,25260002609,UCLA,Pac-10,3,False,1,"{'minutes': 3, 'seconds': 25}",36,3,2005
66,UCLA,Pac-10,FUMBLE,{'seconds': 12},1,"{'minutes': 1, 'seconds': 48}",66,252600026,25260002610,Oklahoma,Big 12,1,False,1,{'minutes': 2},67,1,2005
67,Oklahoma,Big 12,FG GOOD,"{'minutes': 1, 'seconds': 43}",1,{'seconds': 5},73,252600026,25260002611,UCLA,Pac-10,4,True,1,"{'minutes': 1, 'seconds': 48}",66,7,2005
68,UCLA,Pac-10,FG MISSED,"{'minutes': 4, 'seconds': 40}",2,"{'minutes': 10, 'seconds': 25}",15,252600026,25260002612,Oklahoma,Big 12,14,False,1,{'seconds': 5},80,65,2005
69,Oklahoma,Big 12,PUNT,"{'minutes': 3, 'seconds': 16}",2,"{'minutes': 7, 'seconds': 9}",63,252600026,25260002613,UCLA,Pac-10,6,False,2,"{'minutes': 10, 'seconds': 25}",24,39,2005
70,UCLA,Pac-10,PUNT,"{'minutes': 1, 'seconds': 8}",2,"{'minutes': 6, 'seconds': 1}",82,252600026,25260002614,Oklahoma,Big 12,3,False,2,"{'minutes': 7, 'seconds': 9}",80,-2,2005
71,Oklahoma,Big 12,FG GOOD,"{'minutes': 2, 'seconds': 46}",2,"{'minutes': 3, 'seconds': 15}",65,252600026,25260002615,UCLA,Pac-10,7,True,2,"{'minutes': 6, 'seconds': 1}",35,30,2005
72,UCLA,Pac-10,FG GOOD,"{'minutes': 3, 'seconds': 1}",2,{'seconds': 14},20,252600026,25260002616,Oklahoma,Big 12,13,True,2,"{'minutes': 3, 'seconds': 15}",80,60,2005
73,Oklahoma,Big 12,END OF HALF,{'seconds': 14},2,{},25,252600026,25260002617,UCLA,Pac-10,1,False,2,{'seconds': 14},26,-1,2005
74,UCLA,Pac-10,FUMBLE,"{'minutes': 1, 'seconds': 43}",3,"{'minutes': 13, 'seconds': 13}",92,252600026,25260002618,Oklahoma,Big 12,3,True,3,"{'minutes': 14, 'seconds': 56}",80,-12,2005
75,Oklahoma,Big 12,FUMBLE RETURN TD,{},3,"{'minutes': 13, 'seconds': 13}",92,252600026,25260002619,UCLA,Pac-10,1,True,3,"{'minutes': 13, 'seconds': 13}",97,8,2005
76,UCLA,Pac-10,PUNT,"{'minutes': 2, 'seconds': 34}",3,"{'minutes': 10, 'seconds': 39}",55,252600026,25260002620,Oklahoma,Big 12,5,False,3,"{'minutes': 13, 'seconds': 13}",80,25,2005
77,Oklahoma,Big 12,PUNT,"{'minutes': 2, 'seconds': 35}",3,"{'minutes': 8, 'seconds': 4}",35,252600026,25260002621,UCLA,Pac-10,4,False,3,"{'minutes': 10, 'seconds': 39}",15,20,2005
78,UCLA,Pac-10,RUSHING TD,"{'minutes': 4, 'seconds': 45}",3,"{'minutes': 3, 'seconds': 19}",0,252600026,25260002622,Oklahoma,Big 12,8,True,3,"{'minutes': 8, 'seconds': 4}",70,70,2005
79,Oklahoma,Big 12,PASSING TD,"{'minutes': 5, 'seconds': 47}",4,"{'minutes': 12, 'seconds': 23}",100,252600026,25260002623,UCLA,Pac-10,13,True,3,"{'minutes': 3, 'seconds': 19}",16,84,2005
80,UCLA,Pac-10,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 17}",4,"{'minutes': 10, 'seconds': 6}",45,252600026,25260002624,Oklahoma,Big 12,4,False,4,"{'minutes': 12, 'seconds': 23}",51,6,2005
81,Oklahoma,Big 12,PASSING TD,"{'minutes': 2, 'seconds': 57}",4,"{'minutes': 7, 'seconds': 9}",100,252600026,25260002625,UCLA,Pac-10,6,True,4,"{'minutes': 10, 'seconds': 6}",55,45,2005
82,UCLA,Pac-10,RUSHING TD,"{'minutes': 3, 'seconds': 20}",4,"{'minutes': 3, 'seconds': 49}",0,252600026,25260002626,Oklahoma,Big 12,9,True,4,"{'minutes': 7, 'seconds': 9}",25,85,2005
83,Oklahoma,Big 12,RUSHING TD,"{'minutes': 1, 'seconds': 24}",4,"{'minutes': 2, 'seconds': 25}",100,252600026,25260002627,UCLA,Pac-10,3,True,4,"{'minutes': 3, 'seconds': 49}",49,51,2005
84,UCLA,Pac-10,PUNT,{'seconds': 50},4,"{'minutes': 1, 'seconds': 35}",59,252600026,25260002628,Oklahoma,Big 12,4,False,4,"{'minutes': 2, 'seconds': 25}",76,17,2005
85,Oklahoma,Big 12,END OF GAME,"{'minutes': 1, 'seconds': 35}",4,{},22,252600026,25260002629,UCLA,Pac-10,2,False,4,"{'minutes': 1, 'seconds': 35}",20,2,2005
86,Kansas State,Big 12,PUNT,"{'minutes': 1, 'seconds': 53}",1,"{'minutes': 13, 'seconds': 7}",16,252740201,25274020101,Oklahoma,Big 12,3,False,1,{'minutes': 15},20,-4,2005
87,Oklahoma,Big 12,FUMBLE,"{'minutes': 2, 'seconds': 42}",1,"{'minutes': 10, 'seconds': 25}",49,252740201,25274020102,Kansas State,Big 12,4,False,1,"{'minutes': 13, 'seconds': 7}",54,5,2005
88,Kansas State,Big 12,PUNT,{'seconds': 55},1,"{'minutes': 9, 'seconds': 30}",48,252740201,25274020103,Oklahoma,Big 12,3,False,1,"{'minutes': 10, 'seconds': 25}",49,-1,2005
89,Oklahoma,Big 12,PUNT,{'minutes': 3},1,"{'minutes': 6, 'seconds': 30}",84,252740201,25274020104,Kansas State,Big 12,5,False,1,"{'minutes': 9, 'seconds': 30}",80,-4,2005
90,Kansas State,Big 12,RUSHING TD,"{'minutes': 1, 'seconds': 8}",1,"{'minutes': 5, 'seconds': 22}",100,252740201,25274020105,Oklahoma,Big 12,3,True,1,"{'minutes': 6, 'seconds': 30}",67,33,2005
91,Oklahoma,Big 12,SF,"{'minutes': 1, 'seconds': 2}",1,"{'minutes': 4, 'seconds': 20}",100,252740201,25274020106,Kansas State,Big 12,4,True,1,"{'minutes': 5, 'seconds': 22}",71,-29,2005
92,Kansas State,Big 12,PUNT,"{'minutes': 2, 'seconds': 58}",1,"{'minutes': 1, 'seconds': 22}",61,252740201,25274020107,Oklahoma,Big 12,4,False,1,"{'minutes': 4, 'seconds': 20}",47,14,2005
93,Oklahoma,Big 12,PUNT,"{'minutes': 3, 'seconds': 42}",2,"{'minutes': 12, 'seconds': 40}",75,252740201,25274020108,Kansas State,Big 12,8,False,1,"{'minutes': 1, 'seconds': 22}",80,5,2005
94,Kansas State,Big 12,FG GOOD,"{'minutes': 2, 'seconds': 45}",2,"{'minutes': 9, 'seconds': 55}",87,252740201,25274020109,Oklahoma,Big 12,7,True,2,"{'minutes': 12, 'seconds': 40}",67,20,2005
95,Oklahoma,Big 12,PUNT,"{'minutes': 5, 'seconds': 57}",2,"{'minutes': 3, 'seconds': 58}",62,252740201,25274020110,Kansas State,Big 12,8,False,2,"{'minutes': 9, 'seconds': 55}",80,18,2005
96,Kansas State,Big 12,RUSHING TD,"{'minutes': 2, 'seconds': 22}",2,"{'minutes': 1, 'seconds': 36}",100,252740201,25274020111,Oklahoma,Big 12,9,True,2,"{'minutes': 3, 'seconds': 58}",27,73,2005
97,Oklahoma,Big 12,END OF HALF,"{'minutes': 1, 'seconds': 36}",2,{},75,252740201,25274020112,Kansas State,Big 12,3,False,2,"{'minutes': 1, 'seconds': 36}",80,5,2005
98,Oklahoma,Big 12,INT,"{'minutes': 1, 'seconds': 19}",3,"{'minutes': 13, 'seconds': 41}",69,252740201,25274020113,Kansas State,Big 12,4,False,3,{'minutes': 15},80,11,2005
99,Kansas State,Big 12,RUSHING TD,"{'minutes': 1, 'seconds': 10}",3,"{'minutes': 12, 'seconds': 31}",100,252740201,25274020114,Oklahoma,Big 12,3,True,3,"{'minutes': 13, 'seconds': 41}",68,32,2005
100,Oklahoma,Big 12,PASSING TD,"{'minutes': 1, 'seconds': 44}",3,"{'minutes': 10, 'seconds': 47}",0,252740201,25274020115,Kansas State,Big 12,3,True,3,"{'minutes': 12, 'seconds': 31}",80,80,2005
101,Kansas State,Big 12,PUNT,"{'minutes': 1, 'seconds': 35}",3,"{'minutes': 9, 'seconds': 12}",43,252740201,25274020116,Oklahoma,Big 12,3,False,3,"{'minutes': 10, 'seconds': 47}",40,3,2005
102,Oklahoma,Big 12,PUNT,"{'minutes': 1, 'seconds': 36}",3,"{'minutes': 7, 'seconds': 36}",73,252740201,25274020117,Kansas State,Big 12,3,False,3,"{'minutes': 9, 'seconds': 12}",80,7,2005
103,Kansas State,Big 12,RUSHING TD,"{'minutes': 1, 'seconds': 18}",3,"{'minutes': 6, 'seconds': 18}",100,252740201,25274020118,Oklahoma,Big 12,3,True,3,"{'minutes': 7, 'seconds': 36}",56,44,2005
104,Oklahoma,Big 12,PASSING TD,"{'minutes': 3, 'seconds': 25}",3,"{'minutes': 2, 'seconds': 53}",0,252740201,25274020119,Kansas State,Big 12,7,True,3,"{'minutes': 6, 'seconds': 18}",80,80,2005
105,Kansas State,Big 12,PASSING TD,"{'minutes': 4, 'seconds': 30}",4,"{'minutes': 13, 'seconds': 18}",100,252740201,25274020120,Oklahoma,Big 12,9,True,3,"{'minutes': 2, 'seconds': 53}",16,84,2005
106,Oklahoma,Big 12,PUNT,"{'minutes': 1, 'seconds': 7}",4,"{'minutes': 12, 'seconds': 11}",86,252740201,25274020121,Kansas State,Big 12,3,False,4,"{'minutes': 13, 'seconds': 18}",76,-10,2005
107,Kansas State,Big 12,FG GOOD,"{'minutes': 4, 'seconds': 22}",4,"{'minutes': 7, 'seconds': 49}",77,252740201,25274020122,Oklahoma,Big 12,10,False,4,"{'minutes': 12, 'seconds': 11}",30,47,2005
108,Oklahoma,Big 12,RUSHING TD,{'seconds': 54},4,"{'minutes': 6, 'seconds': 55}",0,252740201,25274020123,Kansas State,Big 12,4,True,4,"{'minutes': 7, 'seconds': 49}",65,65,2005
109,Kansas State,Big 12,PUNT,"{'minutes': 1, 'seconds': 48}",4,"{'minutes': 5, 'seconds': 7}",36,252740201,25274020124,Oklahoma,Big 12,3,False,4,"{'minutes': 6, 'seconds': 55}",29,7,2005
110,Oklahoma,Big 12,PUNT,{'minutes': 1},4,"{'minutes': 4, 'seconds': 7}",55,252740201,25274020125,Kansas State,Big 12,3,False,4,"{'minutes': 5, 'seconds': 7}",56,1,2005
111,Kansas State,Big 12,PUNT,"{'minutes': 2, 'seconds': 35}",4,"{'minutes': 1, 'seconds': 32}",16,252740201,25274020126,Oklahoma,Big 12,3,False,4,"{'minutes': 4, 'seconds': 7}",8,8,2005
112,Kansas State,Big 12,END OF GAME,"{'minutes': 1, 'seconds': 32}",4,{},57,252740201,25274020128,Oklahoma,Big 12,3,False,4,"{'minutes': 1, 'seconds': 32}",46,11,2005
113,Oklahoma,Big 12,PASSING TD,"{'minutes': 5, 'seconds': 57}",1,"{'minutes': 8, 'seconds': 58}",100,252810251,25281025101,Texas,Big 12,12,True,1,"{'minutes': 14, 'seconds': 55}",18,82,2005
114,Texas,Big 12,PUNT,{'seconds': 52},1,"{'minutes': 8, 'seconds': 6}",74,252810251,25281025102,Oklahoma,Big 12,3,False,1,"{'minutes': 8, 'seconds': 58}",78,4,2005
115,Oklahoma,Big 12,PUNT,{'minutes': 2},1,"{'minutes': 6, 'seconds': 6}",14,252810251,25281025103,Texas,Big 12,3,False,1,"{'minutes': 8, 'seconds': 6}",23,-9,2005
116,Texas,Big 12,FG GOOD,"{'minutes': 1, 'seconds': 50}",1,"{'minutes': 4, 'seconds': 16}",35,252810251,25281025104,Oklahoma,Big 12,6,True,1,"{'minutes': 6, 'seconds': 6}",48,13,2005
117,Oklahoma,Big 12,FUMBLE,{'seconds': 5},1,"{'minutes': 4, 'seconds': 11}",26,252810251,25281025105,Texas,Big 12,1,False,1,"{'minutes': 4, 'seconds': 16}",20,6,2005
118,Texas,Big 12,FG GOOD,"{'minutes': 2, 'seconds': 40}",1,"{'minutes': 1, 'seconds': 31}",9,252810251,25281025106,Oklahoma,Big 12,6,True,1,"{'minutes': 4, 'seconds': 11}",26,17,2005
119,Oklahoma,Big 12,RUSHING TD,{'seconds': 21},1,"{'minutes': 1, 'seconds': 10}",100,252810251,25281025107,Texas,Big 12,1,True,1,"{'minutes': 1, 'seconds': 31}",20,80,2005
120,Texas,Big 12,PUNT,"{'minutes': 1, 'seconds': 6}",1,{'seconds': 4},76,252810251,25281025108,Oklahoma,Big 12,3,False,1,"{'minutes': 1, 'seconds': 10}",79,3,2005
121,Oklahoma,Big 12,PUNT,{'seconds': 57},2,"{'minutes': 14, 'seconds': 7}",20,252810251,25281025109,Texas,Big 12,3,False,1,{'seconds': 4},21,-1,2005
122,Texas,Big 12,PUNT,"{'minutes': 2, 'seconds': 3}",2,"{'minutes': 12, 'seconds': 4}",48,252810251,25281025110,Oklahoma,Big 12,6,False,2,"{'minutes': 14, 'seconds': 7}",68,20,2005
123,Oklahoma,Big 12,PUNT,"{'minutes': 3, 'seconds': 24}",2,"{'minutes': 8, 'seconds': 40}",55,252810251,25281025111,Texas,Big 12,8,False,2,"{'minutes': 12, 'seconds': 4}",17,38,2005
124,Texas,Big 12,PUNT,"{'minutes': 1, 'seconds': 46}",2,"{'minutes': 6, 'seconds': 54}",85,252810251,25281025112,Oklahoma,Big 12,3,False,2,"{'minutes': 8, 'seconds': 40}",91,6,2005
125,Oklahoma,Big 12,FG GOOD,"{'minutes': 3, 'seconds': 14}",2,"{'minutes': 3, 'seconds': 40}",80,252810251,25281025113,Texas,Big 12,8,True,2,"{'minutes': 6, 'seconds': 54}",48,32,2005
